"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Monthly average retail prices for selected products","18100245",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810024501",1;2;5;6,"CURRENT - a cube available to the public and that is current","Monthly","2017-01-01","2026-06-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Products",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Canada","[11124]","11","","",,
"1","Newfoundland and Labrador","[10]","1","11","",,
"1","Prince Edward Island","[11]","2","11","",,
"1","Nova Scotia","[12]","3","11","",,
"1","New Brunswick","[13]","4","11","",,
"1","Quebec","[24]","5","11","",,
"1","Ontario","[35]","6","11","",,
"1","Manitoba","[46]","7","11","",,
"1","Saskatchewan","[47]","8","11","",,
"1","Alberta","[48]","9","11","",,
"1","British Columbia","[59]","10","11","",,
"1","Whitehorse, Yukon","[1023]","12","11","",,
"1","Yellowknife, Northwest Territories","[1044]","13","11","",,
"2","Beef stewing cuts, per kilogram","","1","","",3,
"2","Beef striploin cuts, per kilogram","","2","","",3,
"2","Beef top sirloin cuts, per kilogram","","3","","",3,
"2","Beef rib cuts, per kilogram","","41","","",3,
"2","Ground beef, per kilogram","","4","","",3,
"2","Pork loin cuts, per kilogram","","5","","",3,
"2","Pork rib cuts, per kilogram","","6","","",3,
"2","Pork shoulder cuts, per kilogram","","42","","",3,
"2","Whole chicken, per kilogram","","7","","",3,
"2","Chicken breasts, per kilogram","","8","","",3,
"2","Chicken thigh, per kilogram","","9","","",3,
"2","Chicken drumsticks, per kilogram","","43","","",3,
"2","Bacon, 500 grams","","10","","",4,
"2","Wieners, 400 grams","","11","","",4,
"2","Salmon, per kilogram","","78","","",3,
"2","Shrimp, 300 grams","","79","","",4,
"2","Canned salmon, 213 grams","","44","","",4,
"2","Canned tuna, 170 grams","","12","","",3,
"2","Meatless burgers, 226 grams","","80","","",4,
"2","Milk, 1 litre","","13","","",3,
"2","Milk, 2 litres","","14","","",3,
"2","Milk, 4 litres","","15","","",3,
"2","Soy milk, 1.89 litres","","81","","",4,
"2","Nut milk, 1.89 litres","","82","","",4,
"2","Cream, 1 litre","","16","","",3,
"2","Butter, 454 grams","","17","","",3,
"2","Margarine, 907 grams","","83","","",4,
"2","Block cheese, 500 grams","","18","","",4,
"2","Yogurt, 500 grams","","19","","",4,
"2","Eggs, 1 dozen","","20","","",3,
"2","Apples, per kilogram","","21","","",3,
"2","Oranges, per kilogram","","22","","",3,
"2","Oranges, 1.36 kilograms","","23","","",3;4,
"2","Bananas, per kilogram","","24","","",3,
"2","Pears, per kilogram","","25","","",3,
"2","Lemons, unit","","26","","",3,
"2","Limes, unit","","45","","",3,
"2","Grapes, per kilogram","","27","","",3,
"2","Cantaloupe, unit","","28","","",3,
"2","Strawberries, 454 grams","","84","","",4,
"2","Avocado, unit","","29","","",3,
